description	category	color
PWY-6353	Nucleotide-Degradation	#FA180C
PWY-6595	Nucleotide-Degradation	#FA180C
PWY0-1297	Nucleotide-Degradation	#FA180C
PWY0-1298	Nucleotide-Degradation	#FA180C
PWY-7209	Nucleotide-Degradation	#FA180C
P164-PWY	Nucleotide-Degradation	#FA180C
PWY-5497	Nucleotide-Degradation	#FA180C
PWY0-1261	Nucleotide-Degradation	#FA180C
PWY-801	Other	grey50
PWY1G-0	Other	grey50
P125-PWY	Other	grey50
PWY-6396	Other	grey50
PWY66-201	Other	grey50
P621-PWY	Other	grey50
P221-PWY	Other	grey50
PWY-7883	Other	grey50
GALACT-GLUCUROCAT-PWY	Other	grey50
FUC-RHAMCAT-PWY	Other	grey50
PWY-6562	Polyamine-Biosynthesis	#B30012
PWY-6834	Polyamine-Biosynthesis	#B30012
ARG+POLYAMINE-SYN	Polyamine-Biosynthesis	#B30012
POLYAMSYN-PWY	Polyamine-Biosynthesis	#B30012
POLYAMINSYN3-PWY	Polyamine-Biosynthesis	#B30012
PWY-6565	Polyamine-Biosynthesis	#B30012
PWY-6305	Polyamine-Biosynthesis	#B30012
URSIN-PWY	Polyamine-Biosynthesis	#B30012
POLYISOPRENSYN-PWY	Polyprenyl-Biosynthesis	#EA6F35
PWY-7942	Protein-Modification	#F29A3B
PWY-7511	Protein-Modification	#F29A3B
PWY-6920	Secondary-Metabolite-Biosynthesis	#5D38BD
AEROBACTINSYN-PWY	Secondary-Metabolite-Biosynthesis	#5D38BD
PWY-6859	Secondary-Metabolite-Biosynthesis	#5D38BD
PWY-7391	Secondary-Metabolite-Biosynthesis	#5D38BD
NONMEVIPP-PWY	Secondary-Metabolite-Biosynthesis	#5D38BD
PWY-7560	Secondary-Metabolite-Biosynthesis	#5D38BD
PWY-922	Secondary-Metabolite-Biosynthesis	#5D38BD
PWY-6703	Secondary-Metabolite-Biosynthesis	#5D38BD
PWY-5121	Secondary-Metabolite-Biosynthesis	#5D38BD
PWY-5910	Secondary-Metabolite-Biosynthesis	#5D38BD
PWY-6270	Secondary-Metabolite-Biosynthesis	#5D38BD
PWY-7000	Secondary-Metabolite-Biosynthesis	#5D38BD
PWY-7392	Secondary-Metabolite-Biosynthesis	#5D38BD
CHLOROPHYLL-SYN	Secondary-Metabolite-Biosynthesis	#5D38BD
PWY-5531	Secondary-Metabolite-Biosynthesis	#5D38BD
PWY-7159	Secondary-Metabolite-Biosynthesis	#5D38BD
PWY-5188	Tetrapyrrole-Biosynthesis	#8E25B6
PWY-5189	Tetrapyrrole-Biosynthesis	#8E25B6
PWY-6549	Transport-Pathways	grey50
